Draw,Date,Winning Number 1,2,3,4,5,6,Bonus Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize
1097,2023-12-09,14,33,34,35,37,40,4,,1,5,3,3,0,1,0,5,0,7,3864293090,67,67288686,2631,1713547,135670,50000,2317263,5000
1096,2023-12-02,1,12,16,19,23,43,34,,4,2,4,2,1,3,1,0,1,10,2539391175,85,49791984,2924,1447442,141700,50000,2386598,5000
1095,2023-11-25,8,14,28,29,34,40,12,40,2,4,1,5,1,1,2,2,0,10,2617825575,57,76544608,2584,1688484,135653,50000,2278659,5000
1094,2023-11-18,6,7,15,22,26,40,41,22,4,2,2,4,2,1,2,1,0,12,2112854469,87,48571368,2725,1550719,136802,50000,2278728,5000
1093,2023-11-11,10,17,22,30,35,43,44,,3,3,3,3,1,1,2,1,1,13,1967040750,65,65568025,2928,1455575,141232,50000,2327509,5000
1092,2023-11-04,7,18,19,26,33,45,37,,3,3,4,2,1,2,1,1,1,16,1583289844,84,50263170,3327,1269044,160096,50000,2540721,5000
1091,2023-10-28,6,20,23,24,28,30,44,,2,4,1,5,1,1,4,0,0,9,2898470459,65,66887780,2873,1513299,149578,50000,2481449,5000
1090,2023-10-21,12,19,21,29,40,45,1,,3,3,4,2,0,2,2,1,1,11,2386494614,88,49718638,2931,1492747,143714,50000,2398962,5000
1089,2023-10-14,4,18,31,37,42,43,40,,2,4,3,3,1,1,0,2,2,9,2978522167,79,56554219,2825,1581517,138575,50000,2338390,5000
1088,2023-10-07,11,21,22,30,39,44,31,"21,44",3,3,3,3,0,1,3,1,1,11,2434697898,94,47485243,2991,1492348,141487,50000,2352280,5000
1087,2023-09-30,13,14,18,21,34,44,16,,4,2,2,4,0,3,1,1,1,16,1732253602,71,65061169,2989,1545448,149854,50000,2506601,5000
1086,2023-09-23,11,16,25,27,35,36,37,,2,4,4,2,0,2,2,2,0,17,1515913809,67,64105808,3270,1313483,155241,50000,2500478,5000
1085,2023-09-16,4,7,17,18,38,44,36,,4,2,2,4,2,2,0,1,1,23,1073277473,80,51427879,3471,1185316,156670,50000,2475529,5000
1084,2023-09-09,8,12,13,29,33,42,5,,3,3,3,3,1,2,1,1,1,15,1738764600,107,40625342,3003,1447523,151391,50000,2512924,5000
1083,2023-09-02,3,7,14,15,22,38,17,,5,1,3,3,2,2,1,1,0,15,1713084525,72,59482102,3274,1308098,154536,50000,2501816,5000
1082,2023-08-26,21,26,27,32,34,42,31,,1,5,2,4,0,0,3,2,1,7,3720489643,62,70009214,2768,1568126,142123,50000,2390544,5000
1081,2023-08-19,1,9,16,23,24,38,17,"16,23",3,3,3,3,2,1,2,1,0,11,2343892944,92,46708012,2923,1470112,143152,50000,2390493,5000
1080,2023-08-12,13,16,23,31,36,44,38,,2,4,3,3,0,2,1,2,1,7,3639444429,82,51780714,2720,1561037,136257,50000,2254999,5000
1079,2023-08-05,4,8,18,24,37,45,6,,3,3,2,4,2,1,1,1,1,9,2712329417,85,47864637,3212,1266655,145773,50000,2344700,5000
1078,2023-07-29,6,10,11,14,36,38,43,,4,2,1,5,2,2,0,2,0,12,2141604938,77,55626103,2691,1591680,135352,50000,2334106,5000
1077,2023-07-22,4,8,17,30,40,43,34,,3,3,2,4,2,1,1,1,1,7,3570901018,98,42510727,3235,1287806,149808,50000,2428987,5000
1076,2023-07-15,3,7,9,33,36,37,10,,3,3,5,1,3,0,0,3,0,9,2672689750,86,46616682,3109,1289494,148521,50000,2417204,5000
1075,2023-07-08,1,23,24,35,44,45,10,1,1,5,4,2,1,0,2,1,2,9,2896337167,160,27153161,2750,1579821,134529,50000,2267024,5000
1074,2023-07-01,1,6,20,27,28,41,15,"6,28",3,3,3,3,2,1,2,0,1,12,2134763657,78,54737530,2711,1574891,143155,50000,2311622,5000
1073,2023-06-24,6,18,28,30,32,38,15,"18,32",2,4,0,6,1,1,2,2,0,11,2345227603,62,69348129,2994,1436067,146834,50000,2387538,5000
1072,2023-06-17,16,18,20,23,32,43,27,,3,3,2,4,0,3,1,1,1,12,2175006375,93,46774331,2872,1514629,145504,50000,2400605,5000
1071,2023-06-10,1,2,11,21,30,35,39,30,4,2,4,2,2,1,2,1,0,5,5183979750,83,52047990,2891,1494287,143234,50000,2391950,5000
1070,2023-06-03,3,6,14,22,30,41,36,22,4,2,2,4,2,1,2,0,1,14,1859116929,63,68856183,2938,1476495,142759,50000,2353987,5000
1069,2023-05-27,1,10,18,22,28,31,44,,4,2,2,4,2,1,2,1,0,14,1863217554,79,55031743,3006,1446277,146335,50000,2419527,5000
1068,2023-05-20,4,7,19,26,33,35,3,"7,19,33",3,3,4,2,2,1,1,2,0,19,1363929514,87,49644944,3114,1386998,150789,50000,2480427,5000
1067,2023-05-13,7,10,19,23,28,33,18,19,3,3,4,2,2,1,2,1,0,13,1981114010,82,52346509,3679,1166734,163488,50000,2567588,5000
1066,2023-05-06,6,11,16,19,21,32,45,"19,32",5,1,3,3,1,3,1,1,0,15,1670947250,88,47470093,3323,1257108,152826,50000,2432046,5000
1065,2023-04-29,3,18,19,23,32,45,24,"3,18",3,3,4,2,1,2,1,1,1,14,1852593938,74,58415125,3117,1386821,148561,50000,2416212,5000
1064,2023-04-22,3,6,9,18,22,35,14,"3,6,22",5,1,3,3,3,1,1,1,0,19,1348168106,62,68858049,3296,1295267,158665,50000,2525390,5000
1063,2023-04-15,3,6,22,23,24,38,30,,3,3,2,4,2,0,3,1,0,7,3770311875,55,79976313,2706,1625535,139518,50000,2401618,5000
1062,2023-04-08,20,31,32,40,41,45,12,45,1,5,3,3,0,1,0,3,2,7,3801933804,68,65229257,2668,1662515,133599,50000,2278058,5000
1061,2023-04-01,4,24,27,35,37,45,15,"24,45",1,5,4,2,1,0,2,2,1,11,2422768773,99,44866089,3003,1479102,145857,50000,2425576,5000
1060,2023-03-25,3,10,24,33,38,45,36,10,2,4,3,3,2,0,1,2,1,28,898238907,96,43664392,4593,912646,179475,50000,2566118,5000
1059,2023-03-18,7,10,22,25,34,40,27,"25,40",3,3,2,4,2,0,2,2,0,13,2033168481,83,53074680,3127,1408762,151941,50000,2516955,5000
1058,2023-03-11,11,23,25,30,32,40,42,40,1,5,3,3,0,1,3,2,0,13,2058020250,60,74317398,3074,1450568,152446,50000,2545208,5000
1057,2023-03-04,8,13,19,27,40,45,12,"13,45",3,3,4,2,1,2,1,1,1,17,1616069714,664,6895880,2962,1545870,146471,50000,2461496,5000
1056,2023-02-25,13,20,24,32,36,45,29,,2,4,2,4,0,2,1,2,1,14,1969662456,81,56739248,3223,1425964,150996,50000,2464595,5000
1055,2023-02-18,4,7,12,14,22,33,31,14,5,1,2,4,2,2,1,1,0,11,2362815205,92,47085086,3413,1269215,165590,50000,2662001,5000
1054,2023-02-11,14,19,27,28,30,45,33,"30,45",2,4,3,3,0,2,3,0,1,9,3147925709,66,71543767,2714,1739827,140308,50000,2407955,5000
1053,2023-02-04,22,26,29,30,34,45,15,26,1,5,2,4,0,0,4,1,1,7,4090367411,64,74563990,2702,1766135,136905,50000,2367764,5000
1052,2023-01-28,5,17,26,27,35,38,1,"26,35",2,4,4,2,1,1,2,2,0,11,2341682762,108,39750788,2926,1467220,148178,50000,2405830,5000
